new_filename,old_filename,source_video,original_frame,split
train_cam01_t01_001.jpg,cam01_t01_f000000.jpg,vn_intersection_cam01_t01.mp4,0,train
train_cam01_t01_002.jpg,cam01_t01_f000025.jpg,vn_intersection_cam01_t01.mp4,25,train
train_cam01_t01_003.jpg,cam01_t01_f000051.jpg,vn_intersection_cam01_t01.mp4,51,train
train_cam01_t01_004.jpg,cam01_t01_f000077.jpg,vn_intersection_cam01_t01.mp4,77,train
train_cam01_t01_005.jpg,cam01_t01_f000102.jpg,vn_intersection_cam01_t01.mp4,102,train
train_cam01_t01_006.jpg,cam01_t01_f000128.jpg,vn_intersection_cam01_t01.mp4,128,train
train_cam01_t01_007.jpg,cam01_t01_f000154.jpg,vn_intersection_cam01_t01.mp4,154,train
train_cam01_t01_008.jpg,cam01_t01_f000180.jpg,vn_intersection_cam01_t01.mp4,180,train
train_cam01_t01_009.jpg,cam01_t01_f000205.jpg,vn_intersection_cam01_t01.mp4,205,train
train_cam01_t01_010.jpg,cam01_t01_f000231.jpg,vn_intersection_cam01_t01.mp4,231,train
train_cam01_t01_011.jpg,cam01_t01_f000257.jpg,vn_intersection_cam01_t01.mp4,257,train
train_cam01_t01_012.jpg,cam01_t01_f000283.jpg,vn_intersection_cam01_t01.mp4,283,train
train_cam01_t01_013.jpg,cam01_t01_f000308.jpg,vn_intersection_cam01_t01.mp4,308,train
train_cam01_t01_014.jpg,cam01_t01_f000334.jpg,vn_intersection_cam01_t01.mp4,334,train
train_cam01_t01_015.jpg,cam01_t01_f000360.jpg,vn_intersection_cam01_t01.mp4,360,train
train_cam01_t01_016.jpg,cam01_t01_f000386.jpg,vn_intersection_cam01_t01.mp4,386,train
train_cam01_t01_017.jpg,cam01_t01_f000411.jpg,vn_intersection_cam01_t01.mp4,411,train
train_cam01_t01_018.jpg,cam01_t01_f000437.jpg,vn_intersection_cam01_t01.mp4,437,train
train_cam01_t01_019.jpg,cam01_t01_f000463.jpg,vn_intersection_cam01_t01.mp4,463,train
train_cam01_t01_020.jpg,cam01_t01_f000489.jpg,vn_intersection_cam01_t01.mp4,489,train
train_cam01_t01_021.jpg,cam01_t01_f000514.jpg,vn_intersection_cam01_t01.mp4,514,train
train_cam01_t01_022.jpg,cam01_t01_f000540.jpg,vn_intersection_cam01_t01.mp4,540,train
train_cam01_t01_023.jpg,cam01_t01_f000566.jpg,vn_intersection_cam01_t01.mp4,566,train
train_cam01_t01_024.jpg,cam01_t01_f000592.jpg,vn_intersection_cam01_t01.mp4,592,train
train_cam01_t01_025.jpg,cam01_t01_f000617.jpg,vn_intersection_cam01_t01.mp4,617,train
train_cam01_t01_026.jpg,cam01_t01_f000643.jpg,vn_intersection_cam01_t01.mp4,643,train
train_cam01_t01_027.jpg,cam01_t01_f000669.jpg,vn_intersection_cam01_t01.mp4,669,train
train_cam01_t01_028.jpg,cam01_t01_f000695.jpg,vn_intersection_cam01_t01.mp4,695,train
train_cam01_t01_029.jpg,cam01_t01_f000720.jpg,vn_intersection_cam01_t01.mp4,720,train
train_cam01_t01_030.jpg,cam01_t01_f000746.jpg,vn_intersection_cam01_t01.mp4,746,train
train_cam01_t01_031.jpg,cam01_t01_f000772.jpg,vn_intersection_cam01_t01.mp4,772,train
train_cam01_t01_032.jpg,cam01_t01_f000798.jpg,vn_intersection_cam01_t01.mp4,798,train
train_cam01_t01_033.jpg,cam01_t01_f000823.jpg,vn_intersection_cam01_t01.mp4,823,train
train_cam01_t01_034.jpg,cam01_t01_f000849.jpg,vn_intersection_cam01_t01.mp4,849,train
train_cam01_t01_035.jpg,cam01_t01_f000875.jpg,vn_intersection_cam01_t01.mp4,875,train
train_cam01_t01_036.jpg,cam01_t01_f000901.jpg,vn_intersection_cam01_t01.mp4,901,train
train_cam01_t01_037.jpg,cam01_t01_f000926.jpg,vn_intersection_cam01_t01.mp4,926,train
train_cam01_t01_038.jpg,cam01_t01_f000952.jpg,vn_intersection_cam01_t01.mp4,952,train
train_cam01_t01_039.jpg,cam01_t01_f000978.jpg,vn_intersection_cam01_t01.mp4,978,train
train_cam01_t01_040.jpg,cam01_t01_f001004.jpg,vn_intersection_cam01_t01.mp4,1004,train
train_cam01_t01_041.jpg,cam01_t01_f001029.jpg,vn_intersection_cam01_t01.mp4,1029,train
train_cam01_t01_042.jpg,cam01_t01_f001055.jpg,vn_intersection_cam01_t01.mp4,1055,train
train_cam01_t01_043.jpg,cam01_t01_f001081.jpg,vn_intersection_cam01_t01.mp4,1081,train
train_cam01_t01_044.jpg,cam01_t01_f001107.jpg,vn_intersection_cam01_t01.mp4,1107,train
train_cam01_t01_045.jpg,cam01_t01_f001132.jpg,vn_intersection_cam01_t01.mp4,1132,train
train_cam01_t01_046.jpg,cam01_t01_f001158.jpg,vn_intersection_cam01_t01.mp4,1158,train
train_cam01_t01_047.jpg,cam01_t01_f001184.jpg,vn_intersection_cam01_t01.mp4,1184,train
train_cam01_t01_048.jpg,cam01_t01_f001210.jpg,vn_intersection_cam01_t01.mp4,1210,train
train_cam01_t01_049.jpg,cam01_t01_f001235.jpg,vn_intersection_cam01_t01.mp4,1235,train
train_cam01_t01_050.jpg,cam01_t01_f001261.jpg,vn_intersection_cam01_t01.mp4,1261,train
train_cam01_t01_051.jpg,cam01_t01_f001287.jpg,vn_intersection_cam01_t01.mp4,1287,train
train_cam01_t01_052.jpg,cam01_t01_f001313.jpg,vn_intersection_cam01_t01.mp4,1313,train
